from_node,to_node,distance,x_from,y_from,z_from,x_to,y_to,z_to
108318,77521,83.164,-3531.232,-1800.869,3.736,-3551.942,-1802.703,3.758
108318,101334,902.427,-3531.232,-1800.869,3.736,-3313.55,-1776.454,3.727
101591,77521,83.546,-3532.174,-1795.96,3.737,-3551.942,-1802.703,3.758
101591,99178,906.431,-3532.174,-1795.96,3.737,-3314.108,-1771.485,3.727
101334,102275,108.304,-3313.55,-1776.454,3.727,-3287.115,-1770.597,3.745
101334,80311,215.99,-3313.55,-1776.454,3.727,-3260.073,-1768.975,3.783
102275,92937,108.09,-3287.115,-1770.597,3.745,-3260.899,-1764.044,3.783
102275,80311,108.362,-3287.115,-1770.597,3.745,-3260.073,-1768.975,3.783
102275,99178,108.03,-3287.115,-1770.597,3.745,-3314.108,-1771.485,3.727
92937,99178,214.907,-3260.899,-1764.044,3.783,-3314.108,-1771.485,3.727
92937,99410,16872.955,-3260.899,-1764.044,3.783,-2226.829,1761.117,3.848
80311,74147,17124.062,-3260.073,-1768.975,3.783,-2209.146,1784.619,3.669
77271,75740,223.193,-504.946,-753.129,5.101,-467.471,-794.47,5.004
77271,79774,428.784,-504.946,-753.129,5.101,-423.668,-823.021,4.872
77271,79813,1174.102,-504.946,-753.129,5.101,-657.202,-518.915,5.149
79861,72684,96.494,-519.969,-742.188,5.122,-504.86,-760.994,5.093
79861,79831,1035.019,-519.969,-742.188,5.122,-659.039,-525.455,5.149
79813,79848,380.72,-657.202,-518.915,5.149,-704.211,-436.154,5.137
79813,79806,199.707,-657.202,-518.915,5.149,-684.861,-477.35,5.144
79849,79831,36.001,-663.761,-517.793,5.148,-659.039,-525.455,5.149
79849,79807,382.217,-663.761,-517.793,5.148,-710.618,-434.516,5.136
79849,79806,182.465,-663.761,-517.793,5.148,-684.861,-477.35,5.144
72684,77272,411.056,-504.86,-760.994,5.093,-426.317,-827.262,4.872
72684,75740,200.742,-504.86,-760.994,5.093,-467.471,-794.47,5.004
75740,77272,210.484,-467.471,-794.47,5.004,-426.317,-827.262,4.872
75740,79774,209.145,-467.471,-794.47,5.004,-423.668,-823.021,4.872
79774,65921,7179.556,-423.668,-823.021,4.872,1053.118,-1018.522,1.385
77272,155428,7171.236,-426.317,-827.262,4.872,1048.666,-1020.799,1.385
79807,79806,199.927,-710.618,-434.516,5.136,-684.861,-477.35,5.144
79807,152711,7498.474,-710.618,-434.516,5.136,-1014.062,1408.57,6.195
79848,79806,182.056,-704.211,-436.154,5.137,-684.861,-477.35,5.144
79848,152723,7529.366,-704.211,-436.154,5.137,-1009.267,1409.988,6.195
112397,139897,96.376,1624.093,-2158.179,5.158,1638.051,-2138.54,5.155
112397,92472,2357.045,1624.093,-2158.179,5.158,1769.696,-1539.166,2.689
81912,139897,94.418,1628.667,-2160.199,5.158,1638.051,-2138.54,5.155
81912,132515,656.669,1628.667,-2160.199,5.158,1726.383,-2030.619,5.726
139897,131529,484.444,1638.051,-2138.54,5.155,1721.499,-2029.548,5.726
139897,137047,2392.976,1638.051,-2138.54,5.155,1773.45,-1561.713,2.842
132515,131629,86.485,1726.383,-2030.619,5.726,1728.544,-2009.106,4.785
132515,121715,171.816,1726.383,-2030.619,5.726,1735.589,-1988.663,4.322
131529,104416,171.82,1721.499,-2029.548,5.726,1730.705,-1987.591,4.322
131529,131629,86.488,1721.499,-2029.548,5.726,1728.544,-2009.106,4.785
131629,121715,86.491,1728.544,-2009.106,4.785,1735.589,-1988.663,4.322
131629,104416,86.493,1728.544,-2009.106,4.785,1730.705,-1987.591,4.322
104416,90635,976.088,1730.705,-1987.591,4.322,1783.427,-1747.297,4.308
121715,90046,976.089,1735.589,-1988.663,4.322,1788.311,-1748.368,4.308
48614,41470,77.099,1796.502,-1711.036,4.224,1789.964,-1729.168,4.281
48614,90046,152.88,1796.502,-1711.036,4.224,1788.311,-1748.368,4.308
48614,137754,810.255,1796.502,-1711.036,4.224,1775.027,-1532.434,2.641
41470,90635,77.086,1789.964,-1729.168,4.281,1783.427,-1747.297,4.308
41470,128160,77.096,1789.964,-1729.168,4.281,1791.618,-1709.965,4.224
41470,90046,77.084,1789.964,-1729.168,4.281,1788.311,-1748.368,4.308
90635,128160,152.88,1783.427,-1747.297,4.308,1791.618,-1709.965,4.224
137047,92472,91.43,1773.45,-1561.713,2.842,1769.696,-1539.166,2.689
137047,137754,117.286,1773.45,-1561.713,2.842,1775.027,-1532.434,2.641
137047,128160,585.13,1773.45,-1561.713,2.842,1791.618,-1709.965,4.224
137754,141497,535.078,1775.027,-1532.434,2.641,1784.164,-1422.082,1.966
107369,112151,100.718,1320.103,-1407.649,5.127,1336.453,-1426.798,5.187
107369,77189,200.228,1320.103,-1407.649,5.127,1356.584,-1441.925,5.218
107369,158156,1661.132,1320.103,-1407.649,5.127,1075.004,-1061.312,1.551
112151,101461,100.937,1336.453,-1426.798,5.187,1316.602,-1411.219,5.127
112151,77189,100.724,1336.453,-1426.798,5.187,1356.584,-1441.925,5.218
112151,115069,100.942,1336.453,-1426.798,5.187,1353.239,-1445.641,5.218
115069,101461,201.083,1353.239,-1445.641,5.218,1316.602,-1411.219,5.127
101461,155428,1928.512,1316.602,-1411.219,5.127,1048.666,-1020.799,1.385
158156,155428,193.287,1075.004,-1061.312,1.551,1048.666,-1020.799,1.385
158156,65921,192.249,1075.004,-1061.312,1.551,1053.118,-1018.522,1.385
158156,99766,1254.554,1075.004,-1061.312,1.551,1334.043,-1119.607,1.652
138266,99766,323.674,1395.125,-1207.863,1.888,1334.043,-1119.607,1.652
138266,154382,560.422,1395.125,-1207.863,1.888,1435.646,-1090.908,1.852
99766,104821,89.507,1334.043,-1119.607,1.652,1311.68,-1118.823,1.625
99766,154382,422.458,1334.043,-1119.607,1.652,1435.646,-1090.908,1.852
154382,47033,1020.588,1435.646,-1090.908,1.852,1638.643,-1008.319,2.811
104821,157921,1477.604,1311.68,-1118.823,1.625,1656.828,-996.704,2.959
104821,65921,1195.176,1311.68,-1118.823,1.625,1053.118,-1018.522,1.385
141497,128093,229.42,1784.164,-1422.082,1.966,1786.723,-1364.784,1.704
141497,154040,228.211,1784.164,-1422.082,1.966,1791.668,-1365.525,1.704
141497,127564,3072.216,1784.164,-1422.082,1.966,2309.342,-1924.867,3.222
92472,128093,592.929,1769.696,-1539.166,2.689,1786.723,-1364.784,1.704
128093,144570,1969.022,1786.723,-1364.784,1.704,1866.076,-885.739,1.753
154040,64317,3335.218,1791.668,-1365.525,1.704,2310.31,-1919.962,3.222
154040,137400,2086.784,1791.668,-1365.525,1.704,1871.001,-831.731,1.767
157880,64353,254.531,1651.865,-1229.797,5.215,1692.669,-1180.969,4.994
157880,92140,127.572,1651.865,-1229.797,5.215,1670.596,-1203.984,5.141
92140,154969,127.348,1670.596,-1203.984,5.141,1688.767,-1177.842,4.994
92140,64353,127.556,1670.596,-1203.984,5.141,1692.669,-1180.969,4.994
92140,103260,127.364,1670.596,-1203.984,5.141,1648.095,-1226.513,5.215
103260,154969,253.711,1648.095,-1226.513,5.215,1688.767,-1177.842,4.994
47033,157320,190.616,1638.643,-1008.319,2.811,1684.622,-995.796,3.146
47033,156566,604.62,1638.643,-1008.319,2.811,1733.859,-1118.725,4.409
156566,154969,297.405,1733.859,-1118.725,4.409,1688.767,-1177.842,4.994
156566,156954,114.088,1733.859,-1118.725,4.409,1750.394,-1095.485,4.113
157508,156954,116.007,1737.907,-1121.661,4.409,1750.394,-1095.485,4.113
157508,64353,298.367,1737.907,-1121.661,4.409,1692.669,-1180.969,4.994
157508,158501,1049.021,1737.907,-1121.661,4.409,1850.963,-935.857,1.876
156954,156448,689.592,1750.394,-1095.485,4.113,1834.244,-960.557,2.103
156954,157320,417.193,1750.394,-1095.485,4.113,1684.622,-995.796,3.146
157921,157320,111.235,1656.828,-996.704,2.959,1684.622,-995.796,3.146
157921,139000,701.206,1656.828,-996.704,2.959,1843.632,-940.493,1.917
157320,156448,599.483,1684.622,-995.796,3.146,1834.244,-960.557,2.103
144570,158501,209.388,1866.076,-885.739,1.753,1850.963,-935.857,1.876
144570,157678,235.201,1866.076,-885.739,1.753,1865.88,-826.939,1.767
144570,137400,216.928,1866.076,-885.739,1.753,1871.001,-831.731,1.767
139000,156448,88.607,1843.632,-940.493,1.917,1834.244,-960.557,2.103
139000,157678,450.784,1843.632,-940.493,1.917,1865.88,-826.939,1.767
156448,158501,119.306,1834.244,-960.557,2.103,1850.963,-935.857,1.876
137400,86612,1706.298,1871.001,-831.731,1.767,1803.366,-347.736,0.762
157678,155188,1992.57,1865.88,-826.939,1.767,1798.368,-347.616,0.762
86612,72394,188.09,1803.366,-347.736,0.762,1801.321,-300.758,0.67
86612,144050,5260.436,1803.366,-347.736,0.762,1923.92,879.396,3.138
72394,155188,187.804,1801.321,-300.758,0.67,1798.368,-347.616,0.762
72394,123548,4879.238,1801.321,-300.758,0.67,1919.349,877.369,3.138
72394,43466,1668.582,1801.321,-300.758,0.67,1794.291,110.991,2.548
155188,153037,2043.354,1798.368,-347.616,0.762,1789.365,111.852,2.548
156184,133814,88.799,2353.724,-1927.406,3.108,2331.547,-1926.401,3.159
156184,64317,176.19,2353.724,-1927.406,3.108,2310.31,-1919.962,3.222
156184,77676,36.035,2353.724,-1927.406,3.108,2362.642,-1928.681,3.092
64317,133814,88.767,2310.31,-1919.962,3.222,2331.547,-1926.401,3.159
110733,127564,177.153,2352.993,-1932.353,3.108,2309.342,-1924.867,3.222
110733,133814,89.026,2352.993,-1932.353,3.108,2331.547,-1926.401,3.159
127564,133814,89.032,2309.342,-1924.867,3.222,2331.547,-1926.401,3.159
108336,119490,138.287,-5613.503,3792.483,6.865,-5626.054,3760.27,7.974
108336,77991,275.851,-5613.503,3792.483,6.865,-5633.768,3726.565,9.036
108336,118837,13961.782,-5613.503,3792.483,6.865,-3277.248,5932.055,2.975
77991,119490,138.306,-5633.768,3726.565,9.036,-5626.054,3760.27,7.974
119490,119491,138.318,-5626.054,3760.27,7.974,-5638.549,3728.027,9.036
119490,115232,138.301,-5626.054,3760.27,7.974,-5618.28,3793.96,6.865
119491,115232,275.913,-5638.549,3728.027,9.036,-5618.28,3793.96,6.865
115232,119069,13932.623,-5618.28,3793.96,6.865,-3282.083,5933.373,2.972
74147,99410,117.646,-2209.146,1784.619,3.669,-2226.829,1761.117,3.848
74147,103201,309.76,-2209.146,1784.619,3.669,-2132.531,1803.216,4.67
74147,101830,424.442,-2209.146,1784.619,3.669,-2172.246,1878.664,3.245
99410,100118,1589.243,-2226.829,1761.117,3.848,-2160.845,2155.731,3.099
103201,131506,80.0,-2132.531,1803.216,4.67,-2114.053,1795.563,4.67
103201,101830,341.05,-2132.531,1803.216,4.67,-2172.246,1878.664,3.245
101830,93593,1265.672,-2172.246,1878.664,3.245,-2155.934,2156.665,3.099
66630,118877,203.102,-1080.96,1541.438,7.701,-1120.59,1509.695,8.581
66630,104026,101.613,-1080.96,1541.438,7.701,-1100.572,1525.292,8.294
66630,152671,284.596,-1080.96,1541.438,7.701,-1055.14,1606.951,5.182
104026,118877,101.508,-1100.572,1525.292,8.294,-1120.59,1509.695,8.581
104026,118727,99.288,-1100.572,1525.292,8.294,-1084.889,1544.532,7.686
104026,63990,99.242,-1100.572,1525.292,8.294,-1122.764,1514.198,8.581
118727,63990,194.1,-1084.889,1544.532,7.686,-1122.764,1514.198,8.581
118727,152692,374.348,-1084.889,1544.532,7.686,-1061.907,1644.636,4.747
141208,152711,282.938,-1048.595,1470.302,7.266,-1014.062,1408.57,6.195
141208,75286,154.645,-1048.595,1470.302,7.266,-1079.936,1492.939,8.179
141208,156822,270.888,-1048.595,1470.302,7.266,-1113.176,1490.687,8.584
75286,73135,139.486,-1079.936,1492.939,8.179,-1114.717,1495.449,8.585
75286,156822,133.265,-1079.936,1492.939,8.179,-1113.176,1490.687,8.584
75286,63523,139.115,-1079.936,1492.939,8.179,-1048.78,1477.484,7.394
73135,63523,273.362,-1114.717,1495.449,8.585,-1048.78,1477.484,7.394
63523,152722,160.018,-1048.78,1477.484,7.394,-1024.392,1445.773,6.249
152671,152692,153.151,-1055.14,1606.951,5.182,-1061.907,1644.636,4.747
152671,152670,154.727,-1055.14,1606.951,5.182,-1056.998,1645.588,4.747
152671,152722,539.381,-1055.14,1606.951,5.182,-1024.392,1445.773,6.249
152692,134117,2409.14,-1061.907,1644.636,4.747,-1286.521,2185.978,1.346
152670,152723,946.879,-1056.998,1645.588,4.747,-1009.267,1409.988,6.195
152670,110542,2441.421,-1056.998,1645.588,4.747,-1282.108,2188.328,1.346
152723,152722,155.4,-1009.267,1409.988,6.195,-1024.392,1445.773,6.249
152711,152722,154.442,-1014.062,1408.57,6.195,-1024.392,1445.773,6.249
101603,102151,215.845,-2191.345,2258.873,3.149,-2171.173,2208.824,3.131
101603,100118,430.228,-2191.345,2258.873,3.149,-2160.845,2155.731,3.099
85332,93593,434.201,-2186.714,2260.76,3.149,-2155.934,2156.665,3.099
85332,102151,216.845,-2186.714,2260.76,3.149,-2171.173,2208.824,3.131
93593,102151,217.358,-2155.934,2156.665,3.099,-2171.173,2208.824,3.131
102151,100118,216.353,-2171.173,2208.824,3.131,-2160.845,2155.731,3.099
156421,110542,189.122,-1303.896,2230.289,1.344,-1282.108,2188.328,1.346
156421,134117,190.383,-1303.896,2230.289,1.344,-1286.521,2185.978,1.346
156421,69836,1122.249,-1303.896,2230.289,1.344,-1410.444,2475.596,1.335
156421,37342,13693.119,-1303.896,2230.289,1.344,1566.004,2069.378,6.902
134117,76297,722.481,-1286.521,2185.978,1.346,-1364.337,2347.025,1.339
110542,134507,13990.43,-1282.108,2188.328,1.346,1559.183,2081.37,6.931
73915,69775,282.186,-1452.888,2395.219,0.873,-1406.731,2451.283,1.336
73915,76297,369.588,-1452.888,2395.219,0.873,-1364.337,2347.025,1.339
76297,69775,450.212,-1364.337,2347.025,1.339,-1406.731,2451.283,1.336
69775,69836,98.38,-1406.731,2451.283,1.336,-1410.444,2475.596,1.335
69775,77768,2424.759,-1406.731,2451.283,1.336,-1730.641,2897.769,4.78
69836,77975,2208.051,-1410.444,2475.596,1.335,-1724.639,2907.906,4.889
70940,77768,195.949,-1753.473,2941.11,5.234,-1730.641,2897.769,4.78
70940,77975,175.905,-1753.473,2941.11,5.234,-1724.639,2907.906,4.889
70940,76416,239.062,-1753.473,2941.11,5.234,-1782.181,2993.529,5.515
70940,77275,171.973,-1753.473,2941.11,5.234,-1764.549,2982.652,5.48
77975,77275,338.934,-1724.639,2907.906,4.889,-1764.549,2982.652,5.48
77768,76416,409.836,-1730.641,2897.769,4.78,-1782.181,2993.529,5.515
69790,70097,123.616,-4757.063,4501.797,2.551,-4733.488,4521.779,2.795
69790,97424,245.651,-4757.063,4501.797,2.551,-4715.348,4546.868,3.207
107927,70097,124.406,-4753.675,4498.119,2.551,-4733.488,4521.779,2.795
107927,98166,248.867,-4753.675,4498.119,2.551,-4711.415,4543.781,3.207
70097,97424,123.84,-4733.488,4521.779,2.795,-4715.348,4546.868,3.207
70097,98166,124.663,-4733.488,4521.779,2.795,-4711.415,4543.781,3.207
98166,110421,9866.051,-4711.415,4543.781,3.207,-3016.715,6181.339,2.668
97424,114277,9864.997,-4715.348,4546.868,3.207,-3021.27,6185.878,2.604
119029,115075,51.252,-3268.427,5998.566,1.55,-3267.767,6011.362,1.326
119029,118986,134.327,-3268.427,5998.566,1.55,-3273.606,5965.386,2.268
119029,118837,268.374,-3268.427,5998.566,1.55,-3277.248,5932.055,2.975
118837,118986,134.118,-3277.248,5932.055,2.975,-3273.606,5965.386,2.268
118986,119069,132.465,-3273.606,5965.386,2.268,-3282.083,5933.373,2.972
118986,118809,133.814,-3273.606,5965.386,2.268,-3273.413,5998.839,1.555
118809,119069,264.15,-3273.413,5998.839,1.555,-3282.083,5933.373,2.972
118809,104598,1199.299,-3273.413,5998.839,1.555,-3220.336,6274.379,1.015
115075,118980,945.536,-3267.767,6011.362,1.326,-3230.068,6256.658,1.004
98196,103016,111.512,-2578.266,6136.28,2.367,-2552.19,6126.42,2.397
98196,100331,975.899,-2578.266,6136.28,2.367,-2814.978,6206.146,2.359
106772,102253,176.408,-2550.344,6131.067,2.397,-2509.803,6113.706,2.473
106772,99526,88.649,-2550.344,6131.067,2.397,-2530.947,6120.347,2.43
106772,107772,1200.762,-2550.344,6131.067,2.397,-2840.672,6214.674,2.372
103016,85984,175.347,-2552.19,6126.42,2.397,-2511.893,6109.163,2.472
103016,99526,88.376,-2552.19,6126.42,2.397,-2530.947,6120.347,2.43
99526,85984,88.375,-2530.947,6120.347,2.43,-2511.893,6109.163,2.472
99526,102253,88.65,-2530.947,6120.347,2.43,-2509.803,6113.706,2.473
102253,107920,9053.687,-2509.803,6113.706,2.473,-577.965,5748.503,2.39
85984,115039,8933.431,-2511.893,6109.163,2.472,-602.099,5741.293,3.186
47607,49719,99.391,-901.515,5602.17,4.295,-876.942,5605.855,4.013
47607,119019,197.122,-901.515,5602.17,4.295,-854.09,5615.565,3.867
47607,108774,9502.732,-901.515,5602.17,4.295,-3011.699,6183.43,2.662
49719,119019,99.318,-876.942,5605.855,4.013,-854.09,5615.565,3.867
49719,106077,99.888,-876.942,5605.855,4.013,-900.401,5597.295,4.294
49719,47590,99.883,-876.942,5605.855,4.013,-852.473,5610.835,3.867
119019,109281,726.821,-854.09,5615.565,3.867,-642.164,5711.458,3.68
106077,47590,199.215,-900.401,5597.295,4.294,-852.473,5610.835,3.867
106077,110421,9519.485,-900.401,5597.295,4.294,-3016.715,6181.339,2.668
47590,109281,727.913,-852.473,5610.835,3.867,-642.164,5711.458,3.68
109281,115039,199.813,-642.164,5711.458,3.68,-602.099,5741.293,3.186
93371,107920,224.674,-522.255,5755.666,1.093,-577.965,5748.503,2.39
93371,90419,345.424,-522.255,5755.666,1.093,-398.502,5784.156,0.262
93371,104719,491.472,-522.255,5755.666,1.093,-468.313,5855.021,2.225
107920,115039,100.752,-577.965,5748.503,2.39,-602.099,5741.293,3.186
115039,99598,954.676,-602.099,5741.293,3.186,-373.462,5787.216,0.351
104719,90419,294.176,-468.313,5855.021,2.225,-398.502,5784.156,0.262
90419,99598,100.905,-398.502,5784.156,0.262,-373.462,5787.216,0.351
90419,54584,943.312,-398.502,5784.156,0.262,-189.26,5897.593,2.336
99598,65855,886.884,-373.462,5787.216,0.351,-185.959,5893.837,2.337
54584,62530,200.592,-189.26,5897.593,2.336,-153.382,5932.63,2.609
54584,47570,101.145,-189.26,5897.593,2.336,-169.108,5912.867,2.502
65855,47570,101.674,-185.959,5893.837,2.337,-169.108,5912.867,2.502
65855,95543,202.722,-185.959,5893.837,2.337,-149.701,5929.247,2.61
95543,47570,101.582,-149.701,5929.247,2.61,-169.108,5912.867,2.502
62530,47570,101.025,-153.382,5932.63,2.609,-169.108,5912.867,2.502
118980,119007,76.32,-3230.068,6256.658,1.004,-3217.052,6270.609,1.015
97220,119007,313.066,-3142.184,6293.422,1.094,-3217.052,6270.609,1.015
97220,117971,162.461,-3142.184,6293.422,1.094,-3182.786,6292.386,1.048
97220,114277,696.946,-3142.184,6293.422,1.094,-3021.27,6185.878,2.604
117971,118943,166.616,-3182.786,6292.386,1.048,-3141.566,6298.384,1.094
117971,104598,166.578,-3182.786,6292.386,1.048,-3220.336,6274.379,1.015
117971,119007,162.402,-3182.786,6292.386,1.048,-3217.052,6270.609,1.015
104598,118943,329.386,-3220.336,6274.379,1.015,-3141.566,6298.384,1.094
118943,118864,717.092,-3141.566,6298.384,1.094,-3016.309,6187.977,2.595
114277,118864,21.547,-3021.27,6185.878,2.604,-3016.309,6187.977,2.595
114277,110421,25.722,-3021.27,6185.878,2.604,-3016.715,6181.339,2.668
118864,108774,25.901,-3016.309,6187.977,2.595,-3011.699,6183.43,2.662
118864,25805,470.13,-3016.309,6187.977,2.595,-2896.231,6215.678,2.417
110421,108774,21.738,-3016.715,6181.339,2.668,-3011.699,6183.43,2.662
108774,86064,452.426,-3011.699,6183.43,2.662,-2896.22,6210.2,2.419
86064,102785,112.501,-2896.22,6210.2,2.419,-2868.297,6213.567,2.392
86064,101016,220.353,-2896.22,6210.2,2.419,-2841.136,6209.511,2.372
102785,107772,110.589,-2868.297,6213.567,2.392,-2840.672,6214.674,2.372
102785,25805,112.055,-2868.297,6213.567,2.392,-2896.231,6215.678,2.417
102785,101016,109.849,-2868.297,6213.567,2.392,-2841.136,6209.511,2.372
101016,100331,105.494,-2841.136,6209.511,2.372,-2814.978,6206.146,2.359
107772,25805,222.272,-2840.672,6214.674,2.372,-2896.231,6215.678,2.417
153037,155060,235.43,1789.365,111.852,2.548,1798.691,169.966,2.586
153037,156143,117.725,1789.365,111.852,2.548,1796.691,140.357,2.569
43466,156143,117.856,1794.291,110.991,2.548,1796.691,140.357,2.569
43466,83743,234.004,1794.291,110.991,2.548,1803.567,168.752,2.586
