id,node0,x_0,y_0,z_0,node1,x_1,y_1,z_1,bus,tram,track,streetType
118738, 76466, -5196.171, 4617.086, 2.973, 83602, -5115.664, 4665.968, -8.567,false,true,false,standard/country_large_old.lua,
112684, 109566, -5040.188, 4707.479, -14.936, 110422, -4963.092, 4745.860, -16.016,false,true,false,standard/country_large_old.lua,
98583, 83602, -5115.664, 4665.968, -8.567, 109566, -5040.188, 4707.479, -14.936,false,true,false,standard/country_large_old.lua,
107887, 110422, -4963.092, 4745.860, -16.016, 101233, -4884.475, 4781.062, -10.761,false,true,false,standard/country_large_old.lua,
109609, 101233, -4884.475, 4781.062, -10.761, 90064, -4841.261, 4798.796, -4.893,false,true,false,standard/country_large_old.lua,
107478, 102951, -1682.562, 5650.495, -4.311, 119138, -1646.529, 5609.722, -5.983,false,true,false,standard/country_large_old.lua,
108644, 119138, -1646.529, 5609.722, -5.983, 73180, -1605.808, 5573.606, -7.069,false,true,false,standard/country_large_old.lua,
107482, 73180, -1605.808, 5573.606, -7.069, 48054, -1549.442, 5535.902, -7.598,false,true,false,standard/country_large_old.lua,
119113, 84346, -1469.581, 5500.473, -6.948, 49722, -1384.062, 5481.045, -4.851,false,true,false,standard/country_large_old.lua,
107480, 65650, -1352.208, 5478.166, -3.748, 119026, -1295.289, 5478.686, -1.368,false,true,false,standard/country_large_old.lua,
107475, 49722, -1384.062, 5481.045, -4.851, 65650, -1352.208, 5478.166, -3.748,false,true,false,standard/country_large_old.lua,
118993, 48054, -1549.442, 5535.902, -7.598, 84346, -1469.581, 5500.473, -6.948,false,true,false,standard/country_large_old.lua,
107483, 112863, -1731.007, 5727.523, -0.252, 102951, -1682.562, 5650.495, -4.311,false,true,false,standard/country_large_old.lua,
153839, 81004, 1536.658, 885.247, -6.750, 145339, 1479.833, 878.108, 0.996,false,false,false,standard/country_medium_new.lua,
159838, 136716, 1646.461, 900.580, -12.571, 80590, 1563.226, 888.771, -9.174,false,false,false,standard/country_medium_new.lua,
159025, 80590, 1563.226, 888.771, -9.174, 81004, 1536.658, 885.247, -6.750,false,false,false,standard/country_medium_new.lua,
159995, 124095, 1771.411, 1016.898, -2.362, 101624, 1785.797, 922.975, -7.788,false,false,false,standard/country_medium_new.lua,
159997, 101624, 1785.797, 922.975, -7.788, 136962, 1729.525, 913.533, -10.916,false,false,false,standard/country_medium_new.lua,
147436, 136962, 1729.525, 913.533, -10.916, 136716, 1646.461, 900.580, -12.571,false,false,false,standard/country_medium_new.lua,
106358, 75903, 1804.354, 926.207, -7.326, 101624, 1785.797, 922.975, -7.788,false,false,false,standard/country_medium_new.lua,
80883, 157263, 1892.850, 943.255, -12.244, 96605, 1839.432, 932.555, -9.242,false,false,false,standard/country_medium_new.lua,
39459, 96605, 1839.432, 932.555, -9.242, 75903, 1804.354, 926.207, -7.326,false,false,false,standard/country_medium_new.lua,
49925, 115443, 1957.348, 958.363, -5.394, 118811, 1982.661, 964.941, 0.722,false,false,false,standard/country_medium_new.lua,
68692, 157263, 1892.850, 943.255, -12.244, 115443, 1957.348, 958.363, -5.394,false,false,false,standard/country_medium_new.lua,
151205, 3257, -4149.896, -4990.041, 6.623, 100709, -4067.096, -5034.027, 6.264,false,false,true,,
128406, 95579, -4152.548, -4994.280, 6.623, 64318, -4069.124, -5038.597, 6.264,false,false,true,,
148977, 85628, -4297.727, -4871.392, 4.894, 113484, -4229.200, -4938.344, 6.217,false,false,true,,
127940, 3534, -4293.984, -4868.076, 4.894, 3273, -4225.973, -4934.525, 6.217,false,false,true,,
151148, 3273, -4225.973, -4934.525, 6.217, 3257, -4149.896, -4990.041, 6.623,false,false,true,,
128410, 113484, -4229.200, -4938.344, 6.217, 95579, -4152.548, -4994.280, 6.623,false,false,true,,
151237, 23037, -4381.405, -4747.215, 1.060, 3978, -4352.591, -4791.286, 2.500,false,false,true,,
150050, 47666, -4385.590, -4749.951, 1.060, 52815, -4356.776, -4794.022, 2.500,false,false,true,,
144738, 85058, -4439.088, -4663.603, 1.679, 100748, -4414.403, -4705.880, 0.550,false,false,true,,
128392, 100748, -4414.403, -4705.880, 0.550, 47666, -4385.590, -4749.951, 1.060,false,false,true,,
128291, 113566, -4410.218, -4703.144, 0.550, 23037, -4381.405, -4747.215, 1.060,false,false,true,,
144722, 84387, -4468.951, -4592.437, 3.779, 85058, -4439.088, -4663.603, 1.679,false,false,true,,
151179, 57657, -4434.648, -4661.304, 1.679, 113566, -4410.218, -4703.144, 0.550,false,false,true,,
126669, 84016, -4464.200, -4590.879, 3.779, 57657, -4434.648, -4661.304, 1.679,false,false,true,,
151573, 3978, -4352.591, -4791.286, 2.500, 3534, -4293.984, -4868.076, 4.894,false,false,true,,
148483, 52815, -4356.776, -4794.022, 2.500, 85628, -4297.727, -4871.392, 4.894,false,false,true,,
97341, 82392, -4489.269, -4501.253, 5.964, 84387, -4468.951, -4592.437, 3.779,false,false,true,,
126514, 83033, -4484.306, -4500.645, 5.964, 84016, -4464.200, -4590.879, 3.779,false,false,true,,
128568, 80774, -4476.222, -4317.271, 7.830, 81673, -4491.630, -4408.628, 7.418,false,false,true,,
123694, 81673, -4491.630, -4408.628, 7.418, 82392, -4489.269, -4501.253, 5.964,false,false,true,,
62825, 74546, -4486.643, -4408.982, 7.418, 83033, -4484.306, -4500.645, 5.964,false,false,true,,
147144, 100977, -4471.394, -4318.574, 7.830, 74546, -4486.643, -4408.982, 7.418,false,false,true,,
135128, 93707, -4448.468, -4237.849, 6.429, 80774, -4476.222, -4317.271, 7.830,false,false,true,,
121827, 113532, -4443.888, -4239.854, 6.429, 100977, -4471.394, -4318.574, 7.830,false,false,true,,
151577, 99453, -4359.018, -4095.628, 2.750, 113563, -4381.273, -4127.512, 3.052,false,false,true,,
145199, 134114, -4354.068, -4097.750, 2.750, 101022, -4355.482, -4099.164, 2.750,false,false,true,,
140537, 97611, -4426.570, -4193.781, 5.002, 95325, -4432.248, -4204.203, 5.356,false,false,true,,
129019, 113563, -4381.273, -4127.512, 3.052, 113523, -4388.861, -4136.946, 3.257,false,false,true,,
127157, 101022, -4355.482, -4099.164, 2.750, 113563, -4381.273, -4127.512, 3.052,false,false,true,,
126439, 113511, -4406.697, -4166.040, 4.038, 97611, -4426.570, -4193.781, 5.002,false,false,true,,
125075, 102383, -4384.920, -4140.023, 3.259, 113511, -4406.697, -4166.040, 4.038,false,false,true,,
116792, 113523, -4388.861, -4136.946, 3.257, 97611, -4426.570, -4193.781, 5.002,false,false,true,,
104410, 79654, -4422.213, -4196.234, 5.003, 54869, -4427.829, -4206.541, 5.356,false,false,true,,
101307, 113511, -4406.697, -4166.040, 4.038, 113523, -4388.861, -4136.946, 3.257,false,false,true,,
100349, 79654, -4422.213, -4196.234, 5.003, 113511, -4406.697, -4166.040, 4.038,false,false,true,,
63809, 112174, -4351.947, -4102.699, 2.750, 102383, -4384.920, -4140.023, 3.259,false,false,true,,
42996, 102383, -4384.920, -4140.023, 3.259, 79654, -4422.213, -4196.234, 5.003,false,false,true,,
150131, 95325, -4432.248, -4204.203, 5.356, 93707, -4448.468, -4237.849, 6.429,false,false,true,,
149169, 54869, -4427.829, -4206.541, 5.356, 113532, -4443.888, -4239.854, 6.429,false,false,true,,
149926, 144150, -4350.533, -4101.285, 2.750, 112174, -4351.947, -4102.699, 2.750,false,false,true,,
108502, 22503, -3225.643, -5112.547, 10.724, 102655, -3181.147, -5128.683, 10.051,false,false,true,,
97353, 113593, -3227.206, -5117.296, 10.724, 112926, -3182.993, -5133.329, 10.051,false,false,true,,
111437, 21004, -3113.304, -5159.631, 8.247, 21402, -3059.932, -5190.318, 6.064,false,false,true,,
100061, 88969, -3115.607, -5164.069, 8.247, 90534, -3062.612, -5194.540, 6.064,false,false,true,,
109235, 20533, -3137.731, -5147.532, 9.013, 21004, -3113.304, -5159.631, 8.247,false,false,true,,
108950, 102655, -3181.147, -5128.683, 10.051, 20533, -3137.731, -5147.532, 9.013,false,false,true,,
98152, 79705, -3139.866, -5152.053, 9.013, 88969, -3115.607, -5164.069, 8.247,false,false,true,,
98145, 112926, -3182.993, -5133.329, 10.051, 79705, -3139.866, -5152.053, 9.013,false,false,true,,
147198, 21340, -2690.132, -5649.168, 0.087, 21372, -2631.728, -5709.549, 0.079,false,false,true,,
142755, 21372, -2631.728, -5709.549, 0.079, 21373, -2555.957, -5748.290, 0.073,false,false,true,,
137944, 90692, -2634.708, -5713.563, 0.079, 6426, -2557.468, -5753.056, 0.073,false,false,true,,
151809, 97479, -2694.244, -5652.013, 0.087, 90692, -2634.708, -5713.563, 0.079,false,false,true,,
145501, 21425, -2435.696, -5885.530, -1.335, 93729, -2372.305, -5941.443, 0.050,false,false,true,,
137696, 113493, -2324.702, -5959.004, 1.791, 93729, -2372.305, -5941.443, 0.050,false,false,true,,
137002, 113487, -2326.432, -5963.695, 1.791, 98230, -2374.035, -5946.134, 0.050,false,false,true,,
133909, 91179, -2439.805, -5888.379, -1.335, 98230, -2374.035, -5946.134, 0.050,false,false,true,,
140037, 148253, -2183.501, -6016.425, 4.350, 148570, -2181.625, -6017.117, 4.350,false,false,true,,
140011, 148253, -2183.501, -6016.425, 4.350, 123015, -2185.377, -6015.733, 4.350,false,false,true,,
151524, 148926, -2071.064, -6052.576, 4.350, 147874, -2086.075, -6047.038, 4.350,false,false,true,,
149916, 147874, -2086.075, -6047.038, 4.350, 143197, -2087.951, -6046.346, 4.350,false,false,true,,
149915, 144398, -2089.827, -6045.653, 4.350, 143197, -2087.951, -6046.346, 4.350,false,false,true,,
148575, 51322, -2127.355, -6031.809, 4.350, 124513, -2125.479, -6032.501, 4.350,false,false,true,,
147990, 141894, -2104.839, -6040.116, 4.350, 144398, -2089.827, -6045.653, 4.350,false,false,true,,
146793, 144750, -2054.030, -6064.189, 4.350, 124948, -2052.154, -6064.881, 4.350,false,false,true,,
146409, 141467, -2069.042, -6058.651, 4.350, 144750, -2054.030, -6064.189, 4.350,false,false,true,,
146257, 151077, -2070.918, -6057.959, 4.350, 141467, -2069.042, -6058.651, 4.350,false,false,true,,
146156, 151077, -2070.918, -6057.959, 4.350, 127120, -2072.794, -6057.267, 4.350,false,false,true,,
145939, 127120, -2072.794, -6057.267, 4.350, 130101, -2087.805, -6051.729, 4.350,false,false,true,,
145599, 130101, -2087.805, -6051.729, 4.350, 149440, -2089.682, -6051.037, 4.350,false,false,true,,
145578, 142264, -2091.558, -6050.344, 4.350, 149440, -2089.682, -6051.037, 4.350,false,false,true,,
145432, 138513, -2106.569, -6044.807, 4.350, 142264, -2091.558, -6050.344, 4.350,false,false,true,,
145307, 141789, -2108.446, -6044.114, 4.350, 138513, -2106.569, -6044.807, 4.350,false,false,true,,
145244, 141789, -2108.446, -6044.114, 4.350, 151397, -2110.322, -6043.422, 4.350,false,false,true,,
144990, 151397, -2110.322, -6043.422, 4.350, 103398, -2125.333, -6037.884, 4.350,false,false,true,,
144581, 103398, -2125.333, -6037.884, 4.350, 129676, -2127.209, -6037.192, 4.350,false,false,true,,
144551, 145117, -2129.086, -6036.500, 4.350, 129676, -2127.209, -6037.192, 4.350,false,false,true,,
144472, 125970, -2144.097, -6030.962, 4.350, 145117, -2129.086, -6036.500, 4.350,false,false,true,,
144217, 145448, -2108.591, -6038.731, 4.350, 123517, -2123.603, -6033.193, 4.350,false,false,true,,
144015, 113961, -2145.973, -6030.270, 4.350, 125970, -2144.097, -6030.962, 4.350,false,false,true,,
143730, 113961, -2145.973, -6030.270, 4.350, 107410, -2147.850, -6029.578, 4.350,false,false,true,,
143372, 107410, -2147.850, -6029.578, 4.350, 145716, -2162.861, -6024.040, 4.350,false,false,true,,
143369, 145716, -2162.861, -6024.040, 4.350, 146967, -2164.737, -6023.347, 4.350,false,false,true,,
143033, 123517, -2123.603, -6033.193, 4.350, 124513, -2125.479, -6032.501, 4.350,false,false,true,,
141808, 116899, -2164.883, -6017.964, 4.350, 149445, -2163.007, -6018.656, 4.350,false,false,true,,
140861, 151661, -2166.614, -6022.655, 4.350, 146967, -2164.737, -6023.347, 4.350,false,false,true,,
140736, 148570, -2181.625, -6017.117, 4.350, 151661, -2166.614, -6022.655, 4.350,false,false,true,,
139283, 145118, -2052.300, -6059.498, 4.350, 124830, -2050.423, -6060.190, 4.350,false,false,true,,
139110, 143011, -2067.311, -6053.960, 4.350, 145118, -2052.300, -6059.498, 4.350,false,false,true,,
138932, 123130, -2069.187, -6053.268, 4.350, 143011, -2067.311, -6053.960, 4.350,false,false,true,,
138860, 123130, -2069.187, -6053.268, 4.350, 148926, -2071.064, -6052.576, 4.350,false,false,true,,
131670, 130103, -2106.715, -6039.423, 4.350, 141894, -2104.839, -6040.116, 4.350,false,false,true,,
129803, 125362, -2144.243, -6025.579, 4.350, 151073, -2142.366, -6026.271, 4.350,false,false,true,,
124964, 125362, -2144.243, -6025.579, 4.350, 127386, -2146.119, -6024.886, 4.350,false,false,true,,
124781, 148979, -2161.130, -6019.349, 4.350, 149445, -2163.007, -6018.656, 4.350,false,false,true,,
106886, 151073, -2142.366, -6026.271, 4.350, 51322, -2127.355, -6031.809, 4.350,false,false,true,,
103057, 130103, -2106.715, -6039.423, 4.350, 145448, -2108.591, -6038.731, 4.350,false,false,true,,
63268, 127386, -2146.119, -6024.886, 4.350, 148979, -2161.130, -6019.349, 4.350,false,false,true,,
149942, 96495, -2200.534, -6004.812, 4.350, 102723, -2211.738, -6000.678, 4.323,false,false,true,,
149918, 90829, -2202.265, -6009.503, 4.350, 59176, -2213.469, -6005.370, 4.323,false,false,true,,
145762, 102723, -2211.738, -6000.678, 4.323, 96910, -2277.087, -5976.571, 3.259,false,false,true,,
145693, 104676, -2245.282, -5990.968, 3.965, 59176, -2213.469, -6005.370, 4.323,false,false,true,,
144194, 96910, -2277.087, -5976.571, 3.259, 104676, -2245.282, -5990.968, 3.965,false,false,true,,
143872, 102723, -2211.738, -6000.678, 4.323, 104676, -2245.282, -5990.968, 3.965,false,false,true,,
141802, 59176, -2213.469, -6005.370, 4.323, 104251, -2278.816, -5981.261, 3.259,false,false,true,,
140002, 123015, -2185.377, -6015.733, 4.350, 129802, -2200.388, -6010.195, 4.350,false,false,true,,
139533, 129802, -2200.388, -6010.195, 4.350, 90829, -2202.265, -6009.503, 4.350,false,false,true,,
134552, 104251, -2278.816, -5981.261, 3.259, 113487, -2326.432, -5963.695, 1.791,false,false,true,,
125717, 150953, -2183.647, -6011.042, 4.350, 124951, -2198.658, -6005.504, 4.350,false,false,true,,
124689, 124951, -2198.658, -6005.504, 4.350, 96495, -2200.534, -6004.812, 4.350,false,false,true,,
122972, 148108, -2181.770, -6011.734, 4.350, 150953, -2183.647, -6011.042, 4.350,false,false,true,,
120442, 148108, -2181.770, -6011.734, 4.350, 149439, -2179.894, -6012.426, 4.350,false,false,true,,
120086, 104676, -2245.282, -5990.968, 3.965, 104251, -2278.816, -5981.261, 3.259,false,false,true,,
100586, 96910, -2277.087, -5976.571, 3.259, 113493, -2324.702, -5959.004, 1.791,false,false,true,,
108215, 108640, -2203.594, -5982.350, 2.520, 98590, -2231.969, -5936.602, 1.850,false,false,false,standard/country_small_new.lua,
107897, 98590, -2231.969, -5936.602, 1.850, 98589, -2219.998, -5871.633, 2.700,false,false,false,standard/country_small_new.lua,
140397, 149439, -2179.894, -6012.426, 4.350, 116899, -2164.883, -6017.964, 4.350,false,false,true,,
125425, 107289, -2146.323, -6004.328, 4.350, 108640, -2203.594, -5982.350, 2.520,false,false,false,standard/country_small_new.lua,
113642, 103977, -2075.188, -5987.278, 4.350, 74383, -2038.419, -6000.782, 4.350,false,false,false,standard/country_small_new.lua,
113562, 103977, -2075.188, -5987.278, 4.350, 59367, -2053.175, -5920.801, 3.175,false,false,false,standard/country_small_new.lua,
150901, 6426, -2557.468, -5753.056, 0.073, 74813, -2490.805, -5808.206, -0.630,false,false,true,,
148827, 21373, -2555.957, -5748.290, 0.073, 21403, -2486.731, -5805.307, -0.630,false,false,true,,
140751, 74813, -2490.805, -5808.206, -0.630, 91179, -2439.805, -5888.379, -1.335,false,false,true,,
88194, 21403, -2486.731, -5805.307, -0.630, 21425, -2435.696, -5885.530, -1.335,false,false,true,,
145661, 94433, -2161.663, -5813.597, 4.350, 95895, -2197.290, -5801.981, 3.450,false,false,false,standard/country_small_new.lua,
119070, 95895, -2197.290, -5801.981, 3.450, 98589, -2219.998, -5871.633, 2.700,false,false,false,standard/country_small_new.lua,
152828, 94246, -2096.019, -5834.999, 2.000, 94433, -2161.663, -5813.597, 4.350,false,false,false,standard/country_small_new.lua,
150752, 22421, -2854.131, -5364.388, 0.300, 22921, -2798.803, -5425.398, 0.175,false,false,true,,
115165, 111609, -2857.507, -5368.076, 0.300, 113468, -2802.802, -5428.400, 0.175,false,false,true,,
151358, 113618, -2755.833, -5495.253, 0.120, 113636, -2726.601, -5571.185, 0.100,false,false,true,,
126133, 58080, -2731.143, -5573.500, 0.100, 97479, -2694.244, -5652.013, 0.087,false,false,true,,
117800, 62866, -2760.315, -5497.469, 0.120, 58080, -2731.143, -5573.500, 0.100,false,false,true,,
78933, 113636, -2726.601, -5571.185, 0.100, 21340, -2690.132, -5649.168, 0.087,false,false,true,,
150832, 22921, -2798.803, -5425.398, 0.175, 113618, -2755.833, -5495.253, 0.120,false,false,true,,
125553, 113468, -2802.802, -5428.400, 0.175, 62866, -2760.315, -5497.469, 0.120,false,false,true,,
113574, 21500, -2987.386, -5243.291, 1.760, 22183, -2964.362, -5263.442, 0.613,false,false,true,,
113464, 113614, -2990.594, -5247.126, 1.760, 92167, -2967.739, -5267.129, 0.613,false,false,true,,
113579, 22419, -2909.246, -5313.915, 0.457, 22421, -2854.131, -5364.388, 0.300,false,false,true,,
113458, 109792, -2912.623, -5317.603, 0.457, 111609, -2857.507, -5368.076, 0.300,false,false,true,,
113514, 22183, -2964.362, -5263.442, 0.613, 22419, -2909.246, -5313.915, 0.457,false,false,true,,
113471, 92167, -2967.739, -5267.129, 0.613, 109792, -2912.623, -5317.603, 0.457,false,false,true,,
113508, 21402, -3059.932, -5190.318, 6.064, 21500, -2987.386, -5243.291, 1.760,false,false,true,,
113456, 90534, -3062.612, -5194.540, 6.064, 113614, -2990.594, -5247.126, 1.760,false,false,true,,
128411, 100709, -4067.096, -5034.027, 6.264, 101177, -3978.917, -5065.887, 5.290,false,false,true,,
60782, 64318, -4069.124, -5038.597, 6.264, 99224, -3980.280, -5070.698, 5.290,false,false,true,,
139573, 99224, -3980.280, -5070.698, 5.290, 96566, -3887.369, -5089.981, 3.856,false,false,true,,
138732, 128386, -3933.148, -5077.101, 4.620, 22998, -3886.704, -5085.026, 3.856,false,false,true,,
132694, 101177, -3978.917, -5065.887, 5.290, 128386, -3933.148, -5077.101, 4.620,false,false,true,,
113588, 149377, -3739.478, -5088.206, 1.087, 3948, -3687.528, -5081.517, 0.167,false,false,true,,
113585, 73244, -3791.743, -5095.847, 2.112, 98517, -3694.757, -5087.695, 0.212,false,false,true,,
42729, 113460, -3791.797, -5090.848, 2.112, 149377, -3739.478, -5088.206, 1.087,false,false,true,,
141787, 96566, -3887.369, -5089.981, 3.856, 73244, -3791.743, -5095.847, 2.112,false,false,true,,
113592, 22998, -3886.704, -5085.026, 3.856, 113460, -3791.797, -5090.848, 2.112,false,false,true,,
141838, 98517, -3694.757, -5087.695, 0.212, 113550, -3639.809, -5080.307, 2.286,false,false,true,,
44833, 3948, -3687.528, -5081.517, 0.167, 113606, -3640.360, -5075.337, 2.286,false,false,true,,
141854, 113550, -3639.809, -5080.307, 2.286, 113565, -3574.190, -5074.918, 5.183,false,false,true,,
50833, 113606, -3640.360, -5075.337, 2.286, 5930, -3574.455, -5069.925, 5.183,false,false,true,,
93642, 82674, -3530.028, -5073.452, 6.820, 85521, -3458.915, -5074.908, 8.919,false,false,true,,
85344, 57281, -3530.094, -5068.453, 6.820, 59281, -3458.642, -5069.916, 8.919,false,false,true,,
141855, 113565, -3574.190, -5074.918, 5.183, 82674, -3530.028, -5073.452, 6.820,false,false,true,,
62637, 5930, -3574.455, -5069.925, 5.183, 57281, -3530.094, -5068.453, 6.820,false,false,true,,
90142, 85521, -3458.915, -5074.908, 8.919, 97713, -3394.337, -5080.563, 10.232,false,false,true,,
81784, 59281, -3458.642, -5069.916, 8.919, 20434, -3393.736, -5075.599, 10.232,false,false,true,,
91088, 97713, -3394.337, -5080.563, 10.232, 103214, -3306.601, -5095.527, 11.047,false,false,true,,
81929, 20434, -3393.736, -5075.599, 10.232, 20625, -3305.516, -5090.646, 11.047,false,false,true,,
106636, 20681, -3279.966, -5096.734, 11.060, 22503, -3225.643, -5112.547, 10.724,false,false,true,,
96985, 113413, -3281.199, -5101.580, 11.060, 113593, -3227.206, -5117.296, 10.724,false,false,true,,
91624, 103214, -3306.601, -5095.527, 11.047, 113413, -3281.199, -5101.580, 11.060,false,false,true,,
83444, 20625, -3305.516, -5090.646, 11.047, 20681, -3279.966, -5096.734, 11.060,false,false,true,,
137598, 96094, -3106.965, -4078.287, 15.439, 134366, -3118.756, -4165.172, 19.829,false,false,false,standard/town_medium_new.lua,
154861, 68068, -2942.189, -4206.513, 26.357, 80803, -2951.912, -4293.965, 21.317,false,false,false,standard/town_medium_new.lua,
148777, 55798, -3022.870, -4180.655, 17.192, 153324, -3029.212, -4268.357, 16.211,false,false,false,standard/town_medium_new.lua,
143820, 41905, -3005.399, -4094.478, 13.722, 55798, -3022.870, -4180.655, 17.192,false,false,false,standard/town_medium_new.lua,
118831, 41905, -3005.399, -4094.478, 13.722, 56146, -2921.485, -4120.983, 25.076,false,false,false,standard/town_medium_new.lua,
120022, 56146, -2921.485, -4120.983, 25.076, 68068, -2942.189, -4206.513, 26.357,false,false,false,standard/town_medium_new.lua,
149766, 59367, -2053.175, -5920.801, 3.175, 59492, -2031.162, -5854.323, 2.000,false,false,false,standard/country_small_new.lua,
147296, 139687, -4357.604, -4094.214, 2.750, 99453, -4359.018, -4095.628, 2.750,false,false,true,,
151362, 100411, -4245.881, -3982.491, 2.750, 113570, -4216.122, -3959.696, 2.754,false,false,true,,
149991, 138924, -4269.215, -4012.897, 2.750, 147148, -4270.629, -4014.311, 2.750,false,false,true,,
149990, 136163, -4272.044, -4015.725, 2.750, 147148, -4270.629, -4014.311, 2.750,false,false,true,,
149987, 147251, -4261.437, -3998.048, 2.750, 148363, -4272.751, -4009.361, 2.750,false,false,true,,
149986, 149917, -4283.357, -4027.039, 2.750, 136163, -4272.044, -4015.725, 2.750,false,false,true,,
149948, 130388, -4240.224, -3990.977, 2.750, 113556, -4238.810, -3989.562, 2.750,false,false,true,,
149936, 146118, -4251.538, -4002.290, 2.750, 130388, -4240.224, -3990.977, 2.750,false,false,true,,
149935, 130347, -4252.952, -4003.705, 2.750, 146118, -4251.538, -4002.290, 2.750,false,false,true,,
149924, 144147, -4243.759, -3987.441, 2.750, 111932, -4242.345, -3986.027, 2.750,false,false,true,,
149923, 125012, -4255.073, -3998.755, 2.750, 144147, -4243.759, -3987.441, 2.750,false,false,true,,
149922, 143787, -4256.487, -4000.169, 2.750, 125012, -4255.073, -3998.755, 2.750,false,false,true,,
149921, 143787, -4256.487, -4000.169, 2.750, 143404, -4257.902, -4001.583, 2.750,false,false,true,,
149913, 138763, -4293.964, -4044.717, 2.750, 148119, -4295.378, -4046.131, 2.750,false,false,true,,
149880, 122321, -4325.784, -4069.465, 2.750, 124602, -4327.198, -4070.880, 2.750,false,false,true,,
149352, 148363, -4272.751, -4009.361, 2.750, 149928, -4274.165, -4010.776, 2.750,false,false,true,,
149155, 125568, -4313.056, -4056.738, 2.750, 139305, -4314.470, -4058.152, 2.750,false,false,true,,
148985, 125568, -4313.056, -4056.738, 2.750, 149914, -4311.642, -4055.323, 2.750,false,false,true,,
148854, 149912, -4341.340, -4085.022, 2.750, 142885, -4342.754, -4086.436, 2.750,false,false,true,,
148819, 149904, -4265.680, -4016.432, 2.750, 148041, -4267.094, -4017.847, 2.750,false,false,true,,
148631, 135583, -4329.319, -4065.930, 2.750, 143536, -4330.734, -4067.344, 2.750,false,false,true,,
148580, 149879, -4332.148, -4068.758, 2.750, 143536, -4330.734, -4067.344, 2.750,false,false,true,,
148121, 97969, -4343.461, -4080.072, 2.750, 149879, -4332.148, -4068.758, 2.750,false,false,true,,
148030, 131364, -4325.077, -4075.829, 2.750, 144473, -4323.663, -4074.415, 2.750,false,false,true,,
147405, 110754, -4286.186, -4029.867, 2.750, 144800, -4297.500, -4041.181, 2.750,false,false,true,,
147364, 122304, -4346.290, -4082.900, 2.750, 139687, -4357.604, -4094.214, 2.750,false,false,true,,
147278, 149831, -4300.328, -4044.010, 2.750, 144966, -4298.914, -4042.595, 2.750,false,false,true,,
146600, 149840, -4328.612, -4072.294, 2.750, 124602, -4327.198, -4070.880, 2.750,false,false,true,,
146511, 146630, -4268.508, -4019.261, 2.750, 148041, -4267.094, -4017.847, 2.750,false,false,true,,
146018, 142885, -4342.754, -4086.436, 2.750, 134114, -4354.068, -4097.750, 2.750,false,false,true,,
145765, 113504, -4284.771, -4028.453, 2.750, 110754, -4286.186, -4029.867, 2.750,false,false,true,,
