x,y,z
-4198,-7168,-39.9
-4168,-7168,-40.35
-4138,-7168,-39
-4108,-7168,-41.8
-4078,-7168,-43.95
-4048,-7168,-41
-4018,-7168,-42.25
-3988,-7168,-43.55
-3958,-7168,-42.15
-3928,-7168,-40.15
-3898,-7168,-42.1
-3868,-7168,-43.7
-3838,-7168,-42.35
-3808,-7168,-40.8
-3778,-7168,-40.65
-3748,-7168,-39.4
-3718,-7168,-39.5
-3688,-7168,-40.95
-3658,-7168,-41.25
-3628,-7168,-39.25
-3598,-7168,-40
-3568,-7168,-39.25
-3538,-7168,-39.65
-3508,-7168,-41.2
-3478,-7168,-45.05
-3448,-7168,-42.35
-3418,-7168,-42.95
-3388,-7168,-40.6
-3358,-7168,-40.9
-3328,-7168,-41.15
-3298,-7168,-40.25
-3268,-7168,-43.15
-3238,-7168,-40.05
-3208,-7168,-42.2
-3178,-7168,-40.35
-3148,-7168,-42.05
-3118,-7168,-40.05
-3088,-7168,-39.05
-3058,-7168,-39.65
-3028,-7168,-40.8
-2998,-7168,-43.6
-2968,-7168,-39.95
-2938,-7168,-41.15
-2908,-7168,-40.95
-2878,-7168,-41.65
-2848,-7168,-43.95
-2818,-7168,-43.45
-2788,-7168,-43.85
-2758,-7168,-41.7
-2728,-7168,-44.7
-2698,-7168,-45.75
-2668,-7168,-42.4
-2638,-7168,-42.45
-2608,-7168,-44.2
-2578,-7168,-41.1
-2548,-7168,-39.55
-2518,-7168,-40.55
-2488,-7168,-42.4
-2458,-7168,-41.8
-2428,-7168,-41.9
-2398,-7168,-39.95
-2368,-7168,-41.25
-2338,-7168,-42.7
-2308,-7168,-43.7
-2278,-7168,-43.6
-2248,-7168,-43.15
-2218,-7168,-41.35
-2188,-7168,-40.3
-2158,-7168,-38.85
-2128,-7168,-39.15
-2098,-7168,-39.15
-2068,-7168,-40.95
-2038,-7168,-37.15
-2008,-7168,-32.45
-1978,-7168,-30.05
-1948,-7168,-10
-1918,-7168,-0.05
-1888,-7168,1.4
-1858,-7168,1.7
-1828,-7168,1.6
-1798,-7168,1.45
-1768,-7168,1.35
-1738,-7168,1.35
-1708,-7168,1.05
-1678,-7168,-0.1
-1648,-7168,-6.7
-1618,-7168,-16.55
-1588,-7168,-23.7
-1558,-7168,-28.45
-1528,-7168,-30.5
-1498,-7168,-30.5
-1468,-7168,-34.25
-1438,-7168,-35
-1408,-7168,-35.55
-1378,-7168,-36.4
-1348,-7168,-39.8
-1318,-7168,-42.2
-1288,-7168,-39.65
-1258,-7168,-39.1
-1228,-7168,-36.55
-1198,-7168,-36.15
-1168,-7168,-35.7
-1138,-7168,-35.4
-1108,-7168,-34.55
-1078,-7168,-32.1
-1048,-7168,-31.65
-1018,-7168,-32
-988,-7168,-23.25
-958,-7168,-17.15
-928,-7168,-11.6
-898,-7168,-8.5
-868,-7168,-7.4
-838,-7168,-7.5
-808,-7168,-9.85
-778,-7168,-14.65
-748,-7168,-16.35
-718,-7168,-17.45
-688,-7168,-19.7
-658,-7168,-26.85
-628,-7168,-32.3
-598,-7168,-34.95
-568,-7168,-36.5
-538,-7168,-41.3
-508,-7168,-42
-478,-7168,-42.05
-448,-7168,-44.05
-418,-7168,-43.5
-388,-7168,-42.5
-358,-7168,-39.4
-328,-7168,-38.55
-298,-7168,-40.15
-268,-7168,-38.65
-238,-7168,-41.25
-208,-7168,-39.95
-178,-7168,-43.1
-148,-7168,-43.4
-118,-7168,-43.8
-88,-7168,-44.35
-58,-7168,-42.95
-28,-7168,-44.8
2,-7168,-44.45
32,-7168,-41
62,-7168,-41.35
92,-7168,-39.55
122,-7168,-39.2
152,-7168,-39.35
182,-7168,-40.45
212,-7168,-38.45
242,-7168,-40.6
272,-7168,-41
302,-7168,-40.3
332,-7168,-41.45
362,-7168,-40.7
392,-7168,-39.05
422,-7168,-41.05
452,-7168,-42.8
482,-7168,-41.9
512,-7168,-44.25
542,-7168,-44.05
572,-7168,-44.85
602,-7168,-41.4
632,-7168,-40.5
662,-7168,-39.6
692,-7168,-40.15
722,-7168,-41.45
752,-7168,-43.6
782,-7168,-44.3
812,-7168,-43.85
842,-7168,-40.95
872,-7168,-42.85
902,-7168,-42.35
932,-7168,-42.95
962,-7168,-43.7
992,-7168,-43.5
1022,-7168,-43.35
1052,-7168,-45.2
1082,-7168,-43.15
1112,-7168,-42.25
1142,-7168,-40.85
1172,-7168,-41.2
1202,-7168,-40.15
1232,-7168,-42.8
1262,-7168,-41.85
1292,-7168,-42.3
1322,-7168,-43.8
1352,-7168,-43.5
1382,-7168,-40.75
1412,-7168,-41.1
1442,-7168,-42.7
1472,-7168,-43.1
1502,-7168,-43.65
1532,-7168,-42.65
1562,-7168,-43.9
1592,-7168,-41.6
1622,-7168,-41
1652,-7168,-40.5
1682,-7168,-39.2
1712,-7168,-41.1
1742,-7168,-41.05
1772,-7168,-39.05
1802,-7168,-40.35
1832,-7168,-39.55
1862,-7168,-43.5
1892,-7168,-42.1
1922,-7168,-41.2
1952,-7168,-40.15
1982,-7168,-41.4
2012,-7168,-40.65
2042,-7168,-38.75
2072,-7168,-39.2
2102,-7168,-41.55
2132,-7168,-41.35
2162,-7168,-39
2192,-7168,-38.75
2222,-7168,-41.05
2252,-7168,-41.85
2282,-7168,-40.8
2312,-7168,-42.85
2342,-7168,-40.6
2372,-7168,-40.55
2402,-7168,-39.7
2432,-7168,-40.65
2462,-7168,-40.05
2492,-7168,-38.45
2522,-7168,-39.45
2552,-7168,-41.45
2582,-7168,-41.4
2612,-7168,-41.2
2642,-7168,-41.1
2672,-7168,-41.2
2702,-7168,-42.8
2732,-7168,-45.9
2762,-7168,-43.4
2792,-7168,-40.35
2822,-7168,-42
2852,-7168,-42.05
2882,-7168,-43.55
2912,-7168,-46.3
2942,-7168,-44.55
2972,-7168,-42.25
3002,-7168,-42.25
3032,-7168,-41.75
3062,-7168,-39.7
3092,-7168,-42.15
3122,-7168,-41.35
3152,-7168,-41.05
3182,-7168,-42.55
3212,-7168,-41.55
3242,-7168,-41.05
3272,-7168,-44.8
3302,-7168,-43.55
3332,-7168,-40.3
3362,-7168,-39.2
3392,-7168,-38
3422,-7168,-38.95
3452,-7168,-37.4
3482,-7168,-38.2
3512,-7168,-39.25
3542,-7168,-40.85
3572,-7168,-40.3
3602,-7168,-40.75
3632,-7168,-42.75
3662,-7168,-41.15
3692,-7168,-40
3722,-7168,-37.75
3752,-7168,-39.7
3782,-7168,-36.85
3812,-7168,-37.55
3842,-7168,-37.9
3872,-7168,-36.65
3902,-7168,-35.65
3932,-7168,-38
3962,-7168,-39.4
3992,-7168,-37.9
4022,-7168,-37.7
4052,-7168,-40.25
4082,-7168,-39.15
4112,-7168,-43.95
4142,-7168,-43.25
4172,-7168,-41
4202,-7168,-43.25
4232,-7168,-42.9
4262,-7168,-42.25
4292,-7168,-41.6
4322,-7168,-42
4352,-7168,-43.8
4382,-7168,-45.95
4412,-7168,-44.35
4442,-7168,-40.55
4472,-7168,-40.4
4502,-7168,-41.05
4532,-7168,-44.95
4562,-7168,-43.05
4592,-7168,-40.85
4622,-7168,-42.7
4652,-7168,-42.75
4682,-7168,-44
4712,-7168,-43.85
4742,-7168,-47.25
4772,-7168,-46.1
4802,-7168,-44.1
4832,-7168,-43.55
4862,-7168,-44.85
4892,-7168,-41.65
4922,-7168,-42.25
4952,-7168,-43.15
4982,-7168,-41.2
5012,-7168,-45.15
5042,-7168,-42.55
5072,-7168,-42.35
5102,-7168,-41.25
5132,-7168,-40.5
5162,-7168,-40.85
5192,-7168,-41.2
5222,-7168,-39.45
5252,-7168,-40.5
5282,-7168,-42.2
5312,-7168,-43.45
5342,-7168,-43.55
5372,-7168,-41.45
5402,-7168,-41.55
5432,-7168,-41.7
5462,-7168,-43.1
5492,-7168,-43.35
5522,-7168,-46
5552,-7168,-45.4
5582,-7168,-44.7
5612,-7168,-45.1
5642,-7168,-44.65
5672,-7168,-43
5702,-7168,-47.25
5732,-7168,-42.3
5762,-7168,-42.4
5792,-7168,-40.85
5822,-7168,-42.7
5852,-7168,-44.35
5882,-7168,-44.5
5912,-7168,-43.7
5942,-7168,-41.7
5972,-7168,-43.85
6002,-7168,-45.7
6032,-7168,-44.7
6062,-7168,-44.55
6092,-7168,-42.5
6122,-7168,-44.4
6152,-7168,-42.5
6182,-7168,-46.95
6212,-7168,-44.65
6242,-7168,-44.05
6272,-7168,-42.95
6302,-7168,-41.45
6332,-7168,-39.25
6362,-7168,-40.8
6392,-7168,-41.6
6422,-7168,-41.8
6452,-7168,-40.75
6482,-7168,-40.75
6512,-7168,-40.5
6542,-7168,-40
6572,-7168,-43.4
6602,-7168,-41.65
6632,-7168,-42.85
6662,-7168,-41.55
6692,-7168,-39.15
6722,-7168,-40.85
6752,-7168,-39.5
6782,-7168,-41.5
6812,-7168,-41.8
6842,-7168,-41.1
6872,-7168,-42.8
6902,-7168,-42.05
6932,-7168,-43.1
6962,-7168,-40.3
6992,-7168,-38.65
7022,-7168,-39.8
7052,-7168,-41.35
7082,-7168,-42.45
7112,-7168,-39.65
7142,-7168,-40.45
-7168,-7138,-41.5
-7138,-7138,-45.3
-7108,-7138,-43.1
-7078,-7138,-45.65
-7048,-7138,-43.45
-7018,-7138,-45
-6988,-7138,-44.15
-6958,-7138,-40.4
-6928,-7138,-40.45
-6898,-7138,-40.7
-6868,-7138,-41.3
-6838,-7138,-39.45
-6808,-7138,-41.9
-6778,-7138,-42.25
-6748,-7138,-43.35
-6718,-7138,-43.85
-6688,-7138,-43
-6658,-7138,-44.8
-6628,-7138,-40.7
-6598,-7138,-41.95
-6568,-7138,-42.65
-6538,-7138,-44.5
-6508,-7138,-44
-6478,-7138,-45.85
-6448,-7138,-43.3
-6418,-7138,-42.15
-6388,-7138,-44.75
-6358,-7138,-42.8
-6328,-7138,-42.75
-6298,-7138,-40.15
-6268,-7138,-40.8
-6238,-7138,-39.55
-6208,-7138,-39.25
-6178,-7138,-40
-6148,-7138,-40.95
-6118,-7138,-40.6
-6088,-7138,-39.45
-6058,-7138,-40.95
-6028,-7138,-41.75
-5998,-7138,-42.8
-5968,-7138,-41.4
-5938,-7138,-40.7
-5908,-7138,-41.9
-5878,-7138,-40.2
-5848,-7138,-40.5
-5818,-7138,-42.9
-5788,-7138,-42.45
-5758,-7138,-43.7
-5728,-7138,-43.25
-5698,-7138,-45.3
-5668,-7138,-42.65
-5638,-7138,-43.35
-5608,-7138,-43.6
-5578,-7138,-40.1
-5548,-7138,-40.1
-5518,-7138,-39.95
-5488,-7138,-42.45
-5458,-7138,-43.15
-5428,-7138,-42.3
-5398,-7138,-40.1
-5368,-7138,-41
-5338,-7138,-41.4
-5308,-7138,-41.7
-5278,-7138,-44.05
-5248,-7138,-42.6
-5218,-7138,-45.05
-5188,-7138,-42.1
-5158,-7138,-43.45
-5128,-7138,-41.45
-5098,-7138,-40.35
-5068,-7138,-41.15
-5038,-7138,-39.35
-5008,-7138,-41.65
-4978,-7138,-44.75
-4948,-7138,-41.6
-4918,-7138,-40.9
-4888,-7138,-39.55
-4858,-7138,-40
-4828,-7138,-41.6
-4798,-7138,-40.6
-4768,-7138,-41.55
-4738,-7138,-42.1
-4708,-7138,-41.7
-4678,-7138,-43.65
-4648,-7138,-45.4
-4618,-7138,-43.6
-4588,-7138,-42.1
-4558,-7138,-40.7
-4528,-7138,-44.7
-4498,-7138,-44.3
-4468,-7138,-46.3
-4438,-7138,-42.85
-4408,-7138,-44.1
-4378,-7138,-46.25
-4348,-7138,-44.05
-4318,-7138,-43.1
-4288,-7138,-41.4
-4258,-7138,-40.25
-4228,-7138,-39.6
-4198,-7138,-40.75
-4168,-7138,-40.1
-4138,-7138,-39.15
-4108,-7138,-42.35
-4078,-7138,-44
-4048,-7138,-40.5
-4018,-7138,-42.55
-3988,-7138,-42.05
-3958,-7138,-42
-3928,-7138,-40.35
-3898,-7138,-40.95
-3868,-7138,-41.5
-3838,-7138,-41.85
-3808,-7138,-41.25
-3778,-7138,-40.4
-3748,-7138,-42.5
-3718,-7138,-39.85
-3688,-7138,-41.1
-3658,-7138,-40.25
-3628,-7138,-39.9
-3598,-7138,-39
-3568,-7138,-41.4
-3538,-7138,-42.35
-3508,-7138,-43.5
-3478,-7138,-44.15
-3448,-7138,-43.05
-3418,-7138,-41.45
-3388,-7138,-39.55
-3358,-7138,-42.3
-3328,-7138,-42.6
-3298,-7138,-41.4
-3268,-7138,-44.05
-3238,-7138,-43.1
-3208,-7138,-41.95
-3178,-7138,-40.9
-3148,-7138,-42.55
-3118,-7138,-40
-3088,-7138,-39.35
-3058,-7138,-39.9
-3028,-7138,-43.35
-2998,-7138,-41.6
-2968,-7138,-39.75
-2938,-7138,-41
-2908,-7138,-40.05
-2878,-7138,-44.45
-2848,-7138,-43.35
-2818,-7138,-43.6
-2788,-7138,-45.7
-2758,-7138,-42.1
-2728,-7138,-44.8
-2698,-7138,-45.35
-2668,-7138,-41.85
-2638,-7138,-42.45
-2608,-7138,-43.05
-2578,-7138,-41.85
-2548,-7138,-41.15
-2518,-7138,-40.85
-2488,-7138,-39.75
-2458,-7138,-39.85
-2428,-7138,-39.65
-2398,-7138,-40.7
-2368,-7138,-43.1
-2338,-7138,-42
-2308,-7138,-43.75
-2278,-7138,-40.25
-2248,-7138,-42.7
-2218,-7138,-41.95
-2188,-7138,-36.35
-2158,-7138,-34.7
-2128,-7138,-34.5
-2098,-7138,-35.5
-2068,-7138,-40.1
-2038,-7138,-35.45
-2008,-7138,-34
-1978,-7138,-30.25
-1948,-7138,-12.05
-1918,-7138,-0.8
-1888,-7138,1.25
-1858,-7138,1.65
-1828,-7138,1.45
-1798,-7138,1.2
-1768,-7138,0.8
-1738,-7138,0.95
-1708,-7138,0.95
-1678,-7138,-0.05
-1648,-7138,-5.25
-1618,-7138,-14.6
-1588,-7138,-22.7
-1558,-7138,-27.1
-1528,-7138,-28.75
-1498,-7138,-30.1
-1468,-7138,-30.7
-1438,-7138,-33
-1408,-7138,-34.8
-1378,-7138,-37.15
-1348,-7138,-40.4
-1318,-7138,-41.15
-1288,-7138,-40.55
-1258,-7138,-37.85
-1228,-7138,-36
-1198,-7138,-35.45
-1168,-7138,-32.5
-1138,-7138,-34.25
-1108,-7138,-33.35
-1078,-7138,-30.35
-1048,-7138,-29.3
-1018,-7138,-28.05
-988,-7138,-20.2
-958,-7138,-13.8
-928,-7138,-8.25
-898,-7138,-4.65
-868,-7138,-3.45
-838,-7138,-3.7
-808,-7138,-5.9
-778,-7138,-10.2
-748,-7138,-10.5
-718,-7138,-11.2
-688,-7138,-15.35
-658,-7138,-22.6
-628,-7138,-30.25
-598,-7138,-31.95
-568,-7138,-34.5
-538,-7138,-37.3
-508,-7138,-40
-478,-7138,-42.55
-448,-7138,-41.05
-418,-7138,-41.05
-388,-7138,-40.1
-358,-7138,-38.75
-328,-7138,-39
-298,-7138,-40.75
-268,-7138,-39.35
-238,-7138,-41.9
-208,-7138,-40.65
-178,-7138,-41.9
-148,-7138,-40.1
-118,-7138,-41.2
-88,-7138,-39.95
-58,-7138,-41.65
-28,-7138,-43.25
2,-7138,-43.6
32,-7138,-43.4
62,-7138,-42.15
92,-7138,-40.85
122,-7138,-38.55
152,-7138,-38.45
182,-7138,-40.4
212,-7138,-39.7
242,-7138,-41.2
272,-7138,-40.95
302,-7138,-40.6
332,-7138,-41.4
362,-7138,-39.25
392,-7138,-39.45
422,-7138,-40.35
452,-7138,-44.35
482,-7138,-40.85
512,-7138,-43.8
542,-7138,-45.2
572,-7138,-42.75
602,-7138,-42.25
632,-7138,-41.3
662,-7138,-39.85
692,-7138,-40.35
722,-7138,-40.95
752,-7138,-44.35
782,-7138,-42.9
812,-7138,-42.25
842,-7138,-41.7
872,-7138,-43.4
902,-7138,-42.1
932,-7138,-43.55
962,-7138,-46.95
992,-7138,-46.15
1022,-7138,-43.1
1052,-7138,-42.05
1082,-7138,-41.6
1112,-7138,-42.2
1142,-7138,-41.1
1172,-7138,-39.95
1202,-7138,-42.05
1232,-7138,-43.9
1262,-7138,-42.25
1292,-7138,-40.95
1322,-7138,-44.5
1352,-7138,-46.3
1382,-7138,-43.55
1412,-7138,-42.75
1442,-7138,-41.85
1472,-7138,-42.65
1502,-7138,-41.9
1532,-7138,-44
1562,-7138,-46.2
1592,-7138,-41.35
1622,-7138,-42.6
1652,-7138,-39.75
1682,-7138,-39.55
1712,-7138,-41.15
1742,-7138,-40.5
1772,-7138,-40.45
1802,-7138,-40.55
1832,-7138,-42.2
1862,-7138,-43.45
1892,-7138,-40.05
1922,-7138,-38.6
1952,-7138,-40.5
1982,-7138,-42.35
2012,-7138,-41.55
2042,-7138,-41.2
2072,-7138,-40.15
2102,-7138,-39.1
2132,-7138,-42.2
2162,-7138,-41.65
2192,-7138,-42.05
2222,-7138,-42
2252,-7138,-42.75
2282,-7138,-41.95
2312,-7138,-40.2
2342,-7138,-40.55
2372,-7138,-41.9
2402,-7138,-40.05
2432,-7138,-39.85
2462,-7138,-40.85
2492,-7138,-39.2
2522,-7138,-39.4
2552,-7138,-40.7
2582,-7138,-44.25
2612,-7138,-42.45
2642,-7138,-42.7
2672,-7138,-40.9
2702,-7138,-44.65
2732,-7138,-43.35
2762,-7138,-43.15
2792,-7138,-41
2822,-7138,-40.4
2852,-7138,-41.5
2882,-7138,-41.45
2912,-7138,-43.15
2942,-7138,-43.75
2972,-7138,-45.2
3002,-7138,-43.85
3032,-7138,-43.15
3062,-7138,-42.7
3092,-7138,-41.95
3122,-7138,-41.4
3152,-7138,-43.15
3182,-7138,-40.35
3212,-7138,-41.8
3242,-7138,-40.45
3272,-7138,-44
3302,-7138,-38.45
3332,-7138,-38.45
3362,-7138,-38.35
3392,-7138,-37
3422,-7138,-36.75
3452,-7138,-36.15
3482,-7138,-36.85
3512,-7138,-37.1
3542,-7138,-41.5
3572,-7138,-40.35
3602,-7138,-42.75
3632,-7138,-41.8
3662,-7138,-41.15
3692,-7138,-37.95
3722,-7138,-37.15
3752,-7138,-38.1
3782,-7138,-38.2
3812,-7138,-35.9
3842,-7138,-34.35
3872,-7138,-36.15
3902,-7138,-34.85
3932,-7138,-35.65
3962,-7138,-37.55
3992,-7138,-35.25
4022,-7138,-37.35
4052,-7138,-39.05
4082,-7138,-40.15
4112,-7138,-41.85
4142,-7138,-40.6
4172,-7138,-40.25
4202,-7138,-41.05
4232,-7138,-41.75
4262,-7138,-41.15
4292,-7138,-45.7
4322,-7138,-43.35
4352,-7138,-42.15
4382,-7138,-45.75
4412,-7138,-44.35
4442,-7138,-41.05
4472,-7138,-40.1
4502,-7138,-41.35
4532,-7138,-44.9
4562,-7138,-44.6
4592,-7138,-43.95
4622,-7138,-42.75
4652,-7138,-42.15
4682,-7138,-40.7
4712,-7138,-43.75
4742,-7138,-47.15
4772,-7138,-47.25
4802,-7138,-46.9
4832,-7138,-41.75
4862,-7138,-42.1
4892,-7138,-41.85
4922,-7138,-41.35
4952,-7138,-42
4982,-7138,-43
5012,-7138,-44.7
5042,-7138,-40.55
5072,-7138,-40.15
5102,-7138,-40.55
5132,-7138,-40.2
5162,-7138,-43
5192,-7138,-41.9
5222,-7138,-39.9
5252,-7138,-41.4
5282,-7138,-41.75
5312,-7138,-41.25
5342,-7138,-45.35
5372,-7138,-42.3
5402,-7138,-42.05
5432,-7138,-41.55
5462,-7138,-44.15
5492,-7138,-44
5522,-7138,-44.15
5552,-7138,-45.05
5582,-7138,-42.75
5612,-7138,-44.15
5642,-7138,-42.6
5672,-7138,-42.35
5702,-7138,-46
5732,-7138,-43.75
5762,-7138,-43.9
5792,-7138,-42.15
5822,-7138,-45.65
5852,-7138,-46.2
5882,-7138,-43.2
5912,-7138,-43.2
5942,-7138,-43
5972,-7138,-47.2
6002,-7138,-44.05
6032,-7138,-45.25
6062,-7138,-42.45
6092,-7138,-43.55
6122,-7138,-42.6
6152,-7138,-45.45
6182,-7138,-47.7
6212,-7138,-43.75
6242,-7138,-43.65
6272,-7138,-42.5
6302,-7138,-42.55
6332,-7138,-42.35
6362,-7138,-41.25
6392,-7138,-42.2
6422,-7138,-41.65
6452,-7138,-39.2
6482,-7138,-38.6
6512,-7138,-39.5
6542,-7138,-41.6
6572,-7138,-41.05
6602,-7138,-41.15
6632,-7138,-41.9
6662,-7138,-42.8
6692,-7138,-42.1
6722,-7138,-41.1
6752,-7138,-39.75
6782,-7138,-42.1
6812,-7138,-41.85
6842,-7138,-41
6872,-7138,-42.1
6902,-7138,-45
6932,-7138,-44.15
6962,-7138,-40.2
6992,-7138,-40.4
7022,-7138,-40.95
7052,-7138,-40.25
7082,-7138,-39.95
7112,-7138,-41.45
7142,-7138,-40.55
-7168,-7108,-41.1
-7138,-7108,-43.55
-7108,-7108,-41.85
-7078,-7108,-44.8
-7048,-7108,-44.3
-7018,-7108,-44.5
-6988,-7108,-42.6
-6958,-7108,-41.1
-6928,-7108,-40.5
-6898,-7108,-42.1
-6868,-7108,-39.65
-6838,-7108,-39.15
-6808,-7108,-40.9
-6778,-7108,-39.9
-6748,-7108,-44.25
-6718,-7108,-41.3
-6688,-7108,-41.7
-6658,-7108,-43.9
-6628,-7108,-43.65
-6598,-7108,-44.5
-6568,-7108,-42.35
-6538,-7108,-45.9
-6508,-7108,-42.5
-6478,-7108,-41.3
-6448,-7108,-41.9
-6418,-7108,-45.1
-6388,-7108,-45.6
-6358,-7108,-41.7
-6328,-7108,-42.45
-6298,-7108,-39.3
-6268,-7108,-39.9
-6238,-7108,-39.95
-6208,-7108,-40.15
-6178,-7108,-40.2
-6148,-7108,-39.5
-6118,-7108,-41.3
-6088,-7108,-41.8
-6058,-7108,-39.85
-6028,-7108,-42.05
-5998,-7108,-42.95
-5968,-7108,-41.35
-5938,-7108,-40.45
-5908,-7108,-40.15
-5878,-7108,-41.95
-5848,-7108,-40.85
-5818,-7108,-41.65
-5788,-7108,-43.8
-5758,-7108,-43
-5728,-7108,-41.4
-5698,-7108,-42.85
-5668,-7108,-41.75
-5638,-7108,-42.15
-5608,-7108,-45.35
-5578,-7108,-42.65
-5548,-7108,-41.05
-5518,-7108,-43
-5488,-7108,-43.6
-5458,-7108,-41.25
-5428,-7108,-43.8
-5398,-7108,-40.85
-5368,-7108,-42.55
-5338,-7108,-41.7
-5308,-7108,-41.95
-5278,-7108,-46.1
-5248,-7108,-42.65
-5218,-7108,-43.3
-5188,-7108,-39.9
-5158,-7108,-42
-5128,-7108,-40.05
-5098,-7108,-38.95
-5068,-7108,-40.05
-5038,-7108,-40.6
-5008,-7108,-43.35
-4978,-7108,-41.7
-4948,-7108,-40.15
-4918,-7108,-40.25
-4888,-7108,-38.95
-4858,-7108,-39.55
-4828,-7108,-40.95
-4798,-7108,-40.85
-4768,-7108,-40.25
-4738,-7108,-41.25
-4708,-7108,-44.5
-4678,-7108,-42.4
-4648,-7108,-44.8
-4618,-7108,-45.95
-4588,-7108,-44.6
-4558,-7108,-41.95
-4528,-7108,-43.8
-4498,-7108,-45.7
-4468,-7108,-46.2
-4438,-7108,-45.25
-4408,-7108,-45.3
-4378,-7108,-44.75
-4348,-7108,-42.2
-4318,-7108,-41.45
-4288,-7108,-43.1
-4258,-7108,-40.65
-4228,-7108,-39.75
-4198,-7108,-41.6
-4168,-7108,-41.35
-4138,-7108,-40.5
-4108,-7108,-42.5
-4078,-7108,-41.25
-4048,-7108,-41.75
-4018,-7108,-43.25
-3988,-7108,-44.95
-3958,-7108,-42.75
-3928,-7108,-41.8
-3898,-7108,-41.05
-3868,-7108,-43.75
-3838,-7108,-45.05
-3808,-7108,-43.9
-3778,-7108,-42.15
-3748,-7108,-41.45
-3718,-7108,-41.05
-3688,-7108,-42.45
-3658,-7108,-39.8
-3628,-7108,-41.8
-3598,-7108,-40.15
-3568,-7108,-43.05
-3538,-7108,-41.4
-3508,-7108,-44.05
-3478,-7108,-43.85
-3448,-7108,-40.05
-3418,-7108,-40.4
-3388,-7108,-38.4
-3358,-7108,-40.3
-3328,-7108,-38.6
-3298,-7108,-40.35
-3268,-7108,-42.4
-3238,-7108,-42.95
-3208,-7108,-45.1
-3178,-7108,-43.4
-3148,-7108,-44.7
-3118,-7108,-40.9
-3088,-7108,-40.7
-3058,-7108,-42.3
-3028,-7108,-42.05
-2998,-7108,-40.5
-2968,-7108,-41.6
-2938,-7108,-40.9
-2908,-7108,-40.5
-2878,-7108,-43
-2848,-7108,-44.25
-2818,-7108,-43.75
-2788,-7108,-44.7
-2758,-7108,-42.95
-2728,-7108,-45.95
-2698,-7108,-42.45
-2668,-7108,-42.6
-2638,-7108,-42.95
-2608,-7108,-42.9
-2578,-7108,-40.65
-2548,-7108,-39.85
-2518,-7108,-38.55
-2488,-7108,-39.2
-2458,-7108,-41.05
-2428,-7108,-41.15
-2398,-7108,-42.85
-2368,-7108,-42.6
-2338,-7108,-39.55
-2308,-7108,-40.35
-2278,-7108,-40.7
-2248,-7108,-40.45
-2218,-7108,-36.95
-2188,-7108,-34.35
-2158,-7108,-31.55
-2128,-7108,-31.4
-2098,-7108,-34.6
-2068,-7108,-36.15
-2038,-7108,-35.6
-2008,-7108,-32.8
-1978,-7108,-23.05
-1948,-7108,-4.8
-1918,-7108,0.2
-1888,-7108,1.55
